Dataset,Model,overall_dataset_auc,overall_dataset_auc_std,student_auc_mean,student_auc_mean_std,student_auc_std,student_auc_std_std,student_auc_max,student_auc_max_std,student_auc_min,student_auc_min_std,student_auc_range,student_auc_range_std,unfairness_metric,average_auc,average_auc_std,gini_coefficient,gini_coefficient_std,eawi_alpha_10,eawi_alpha_10_std,eawi_alpha_20,eawi_alpha_20_std,eawi_alpha_30,eawi_alpha_30_std,Folds_Present
algebra2005,akt,0.831695,0.001727,0.797191,0.002484,0.070333,0.001388,0.968571,0.025555,0.438,0.0333,0.530571,0.026548,21.362845,0.797191,0.002484,0.045382,0.000385,0.761013,0.002537,0.726478,0.002605,0.693509,0.002679,"0,1,2,3,4"
algebra2005,atkt,0.829249,0.001566,0.798564,0.002419,0.059948,0.003843,0.982857,0.025555,0.597014,0.04712,0.385843,0.06523,34.523972,0.798564,0.002419,0.040552,0.001635,0.766177,0.001289,0.735106,0.001114,0.705296,0.001939,"0,1,2,3,4"
algebra2005,atktfix,0.801388,0.003126,0.768044,0.003481,0.059398,0.002108,0.931746,0.023677,0.525,0.023746,0.406746,0.039476,31.790087,0.768044,0.003481,0.041425,0.001082,0.736227,0.003403,0.705729,0.003509,0.676496,0.003745,"0,1,2,3,4"
algebra2005,bakt,0.828894,0.000396,0.794039,0.001767,0.070695,0.001125,0.965714,0.007825,0.474667,0.038413,0.491048,0.034415,22.873409,0.794039,0.001767,0.045951,0.000671,0.757553,0.002202,0.722744,0.0026,0.689535,0.002961,"0,1,2,3,4"
algebra2005,deep_irt,0.803818,0.001359,0.769227,0.001292,0.06709,0.002739,0.991429,0.007825,0.544669,0.0215,0.446759,0.026631,25.663851,0.769227,0.001292,0.046035,0.001497,0.733816,0.001937,0.700036,0.002804,0.667813,0.003659,"0,1,2,3,4"
algebra2005,dimkt,0.828781,0.001082,0.797149,0.00129,0.067549,0.002917,0.948953,0.036449,0.517,0.056867,0.431953,0.0731,27.320289,0.797149,0.00129,0.044436,0.001284,0.761727,0.001344,0.72788,0.001956,0.695537,0.002688,"0,1,2,3,4"
algebra2005,dkt,0.816396,0.001165,0.782408,0.000241,0.06075,0.001498,0.968571,0.018626,0.547986,0.035238,0.420585,0.018484,30.622058,0.782408,0.000241,0.041371,0.000892,0.750039,0.000644,0.71901,0.001268,0.689265,0.001851,"0,1,2,3,4"
algebra2005,dkt+,0.817112,0.001223,0.782712,0.001893,0.061062,0.001362,0.962857,0.027848,0.556952,0.032896,0.405905,0.043618,31.579557,0.782712,0.001893,0.04164,0.000739,0.750119,0.001611,0.718884,0.001536,0.688949,0.001647,"0,1,2,3,4"
algebra2005,dkt_forget,0.815939,0.00125,0.781617,0.000352,0.064647,0.001307,0.968571,0.018626,0.551667,0.029439,0.416905,0.033264,29.000742,0.781617,0.000352,0.043967,0.000641,0.747251,0.000583,0.714397,0.000988,0.682987,0.001386,"0,1,2,3,4"
algebra2005,dkvmn,0.805205,0.000992,0.771078,0.001471,0.067416,0.002871,0.991429,0.007825,0.572423,0.014289,0.419005,0.021682,27.297085,0.771078,0.001471,0.046189,0.001745,0.735463,0.002012,0.701495,0.002976,0.669097,0.003968,"0,1,2,3,4"
algebra2005,gkt,0.81082,0.001035,0.775013,0.001772,0.065071,0.002213,0.966032,0.021254,0.559744,0.026289,0.406287,0.026524,29.314762,0.775013,0.001772,0.044907,0.001135,0.740209,0.001886,0.706969,0.0023,0.675223,0.002825,"0,1,2,3,4"
algebra2005,hawkes,0.823781,0.001142,0.795471,0.001759,0.063685,0.002294,0.944444,0.0,0.542073,0.027577,0.402371,0.027577,31.04256,0.795471,0.001759,0.041998,0.001216,0.762064,0.002538,0.730061,0.003307,0.699403,0.004028,"0,1,2,3,4"
algebra2005,kqn,0.803424,0.001834,0.769828,0.002579,0.06463,0.002699,0.974286,0.011952,0.53993,0.041886,0.434356,0.045162,27.423045,0.769828,0.002579,0.044417,0.001176,0.735636,0.003147,0.702964,0.003745,0.671743,0.004327,"0,1,2,3,4"
algebra2005,saint,0.776407,0.002125,0.746682,0.003984,0.068699,0.001641,0.888799,0.032566,0.495919,0.026277,0.39288,0.029961,27.664607,0.746682,0.003984,0.049057,0.001219,0.71005,0.003649,0.675217,0.003549,0.642093,0.003639,"0,1,2,3,4"
algebra2005,sakt,0.793743,0.003206,0.754827,0.004947,0.072293,0.002259,0.944988,0.04818,0.425007,0.032359,0.519981,0.054849,20.080014,0.754827,0.004947,0.049603,0.001542,0.71739,0.005606,0.681811,0.006265,0.647998,0.006889,"0,1,2,3,4"
algebra2005,skvmn,0.654848,0.01374,0.614084,0.011583,0.075146,0.003691,0.916667,0.062113,0.373868,0.023476,0.542799,0.073419,15.05507,0.614084,0.011583,0.064052,0.003182,0.574748,0.010888,0.537938,0.010563,0.503489,0.01051,"0,1,2,3,4"
assist2009,akt,0.769208,0.004491,0.639557,0.00202,0.202832,0.002812,1.0,0.0,0.0,0.0,1.0,0.0,3.153141,0.639557,0.00202,0.172194,0.002753,0.52943,0.002901,0.438271,0.003729,0.362811,0.00425,"0,1,2,3,4"
assist2009,atkt,0.737353,0.002455,0.627026,0.005071,0.190907,0.002474,1.0,0.0,0.0,0.0,1.0,0.0,3.284464,0.627026,0.005071,0.163353,0.002281,0.524607,0.005469,0.43892,0.00567,0.367231,0.005689,"0,1,2,3,4"
assist2009,atktfix,0.710635,0.001817,0.57071,0.001843,0.197189,0.0022,1.0,0.0,0.0,0.0,1.0,0.0,2.894232,0.57071,0.001843,0.185817,0.001998,0.464663,0.002088,0.378323,0.002451,0.308028,0.002681,"0,1,2,3,4"
assist2009,bakt,0.758966,0.006451,0.631963,0.008074,0.199967,0.004256,1.0,0.0,0.0,0.0,1.0,0.0,3.160335,0.631963,0.008074,0.171354,0.004617,0.523694,0.008906,0.433984,0.009475,0.35965,0.009683,"0,1,2,3,4"
assist2009,deep_irt,0.707113,0.0014,0.585206,0.002327,0.200261,0.000853,1.0,0.0,0.0,0.0,1.0,0.0,2.922211,0.585206,0.002327,0.184754,0.001344,0.477088,0.002413,0.388946,0.002482,0.317089,0.002482,"0,1,2,3,4"
assist2009,dimkt,0.74508,0.001377,0.625987,0.004355,0.195796,0.003627,1.0,0.0,0.0,0.0,1.0,0.0,3.197144,0.625987,0.004355,0.169164,0.004345,0.520105,0.006073,0.432142,0.007199,0.359063,0.007794,"0,1,2,3,4"
assist2009,dkt,0.719654,0.000531,0.591484,0.002395,0.199128,0.003626,1.0,0.0,0.0,0.0,1.0,0.0,2.97037,0.591484,0.002395,0.181828,0.00341,0.483936,0.00292,0.395949,0.003785,0.323963,0.004367,"0,1,2,3,4"
assist2009,dkt+,0.719271,0.002973,0.589977,0.003281,0.199267,0.004587,1.0,0.0,0.0,0.0,1.0,0.0,2.960739,0.589977,0.003281,0.182085,0.004047,0.482551,0.003496,0.394692,0.004368,0.322837,0.005007,"0,1,2,3,4"
assist2009,dkvmn,0.707621,0.003032,0.57902,0.002636,0.20444,0.003989,1.0,0.0,0.0,0.0,1.0,0.0,2.832226,0.57902,0.002636,0.190663,0.00506,0.468632,0.005057,0.379302,0.006479,0.307009,0.007183,"0,1,2,3,4"
assist2009,gkt,0.704154,0.00521,0.586257,0.008238,0.199712,0.006236,1.0,0.0,0.0,0.0,1.0,0.0,2.935512,0.586257,0.008238,0.184101,0.008281,0.478374,0.011245,0.390377,0.013041,0.318593,0.013848,"0,1,2,3,4"
assist2009,hawkes,0.690834,0.003027,0.616776,0.001194,0.19573,0.002033,1.0,0.0,0.0,0.0,1.0,0.0,3.151155,0.616776,0.001194,0.171918,0.00226,0.510742,0.002,0.42294,0.002739,0.350234,0.003204,"0,1,2,3,4"
assist2009,kqn,0.711676,0.001184,0.565355,0.003151,0.202767,0.002882,1.0,0.0,0.0,0.0,1.0,0.0,2.788204,0.565355,0.003151,0.194951,0.004124,0.455149,0.004844,0.366433,0.005782,0.295015,0.006179,"0,1,2,3,4"
assist2009,saint,0.649471,0.003085,0.511611,0.012362,0.192737,0.002534,1.0,0.0,0.0,0.0,1.0,0.0,2.654449,0.511611,0.012362,0.201233,0.007695,0.408731,0.013696,0.326563,0.014037,0.260933,0.013706,"0,1,2,3,4"
assist2009,sakt,0.685521,0.002816,0.550095,0.004676,0.197352,0.004014,1.0,0.0,0.0,0.0,1.0,0.0,2.787379,0.550095,0.004676,0.192679,0.005127,0.444121,0.006401,0.358573,0.007362,0.289513,0.007727,"0,1,2,3,4"
assist2009,skvmn,0.684738,0.002344,0.557914,0.009517,0.196967,0.002943,1.0,0.0,0.0,0.0,1.0,0.0,2.832525,0.557914,0.009517,0.19061,0.005346,0.451608,0.010543,0.365571,0.010874,0.295935,0.01071,"0,1,2,3,4"
bridge2algebra2006,akt,0.815259,0.001032,0.79323,0.001804,0.076288,0.000532,0.919485,0.01867,0.0,0.0,0.919485,0.01867,11.308296,0.79323,0.001804,0.036482,0.000597,0.764291,0.001968,0.736409,0.002192,0.709543,0.002443,"0,1,2,3,4"
bridge2algebra2006,atkt,0.820439,0.001505,0.798085,0.003708,0.067426,0.011038,0.950125,0.045931,0.2,0.273861,0.750125,0.228412,15.779252,0.798085,0.003708,0.035086,0.002123,0.77009,0.005205,0.743079,0.006623,0.717019,0.007948,"0,1,2,3,4"
bridge2algebra2006,atktfix,0.786985,0.00102,0.75656,0.001477,0.077997,0.001131,0.88955,0.005443,0.0,0.0,0.88955,0.005443,10.904182,0.75656,0.001477,0.044593,0.000865,0.722824,0.001935,0.690592,0.002408,0.659798,0.002859,"0,1,2,3,4"
bridge2algebra2006,bakt,0.812416,0.00034,0.78988,0.000632,0.077369,0.000984,0.911571,0.002508,0.0,0.0,0.911571,0.002508,11.199667,0.78988,0.000632,0.037962,0.000575,0.759895,0.001018,0.731049,0.001399,0.703297,0.001758,"0,1,2,3,4"
bridge2algebra2006,bakt_time,0.81982,,0.797697,,0.078433,,0.920582,,0.0,,0.920582,,11.047757,0.797697,,0.037359,,0.767895,,0.739207,,0.711591,,0
bridge2algebra2006,deep_irt,0.790469,0.000663,0.761356,0.001875,0.080438,0.002307,0.915045,0.015154,0.0,0.0,0.915045,0.015154,10.343937,0.761356,0.001875,0.046092,0.00153,0.726265,0.002786,0.692793,0.003695,0.660865,0.004541,"0,1,2,3,4"
bridge2algebra2006,dimkt,0.813,0.001023,0.791204,0.000891,0.075781,0.0002,0.911561,0.004132,0.0,0.0,0.911561,0.004132,11.453673,0.791204,0.000891,0.036402,0.000638,0.762403,0.001335,0.73465,0.001761,0.707908,0.002159,"0,1,2"
bridge2algebra2006,dkt,0.794224,0.000902,0.767233,0.001413,0.076387,0.000688,0.904699,0.018026,0.0,0.0,0.904699,0.018026,11.102006,0.767233,0.001413,0.041848,0.000545,0.735127,0.001772,0.704364,0.002098,0.674889,0.002394,"0,1,2"
bridge2algebra2006,dkt_forget,0.790904,0.002672,0.765361,0.005563,0.069144,0.010373,0.944019,0.079169,0.25,0.353553,0.694019,0.274385,15.949217,0.765361,0.005563,0.041652,0.001663,0.733487,0.006604,0.702941,0.007549,0.673669,0.008404,"0,1"
bridge2algebra2006,dkvmn,0.790838,0.000561,0.762257,0.001962,0.079113,0.000599,0.910525,0.016234,0.0,0.0,0.910525,0.016234,10.581785,0.762257,0.001962,0.045419,0.000889,0.727637,0.00254,0.69459,0.003065,0.663044,0.003538,"0,1,2"
bridge2algebra2006,gkt,0.796159,,0.767472,,0.080051,,0.926587,,0.0,,0.926587,,10.34692,0.767472,,0.044003,,0.733701,,0.701416,,0.670552,,0
bridge2algebra2006,hawkes,0.802992,0.001396,0.782603,0.001714,0.075974,0.000507,0.903664,0.00181,0.0,0.0,0.903664,0.00181,11.399002,0.782603,0.001714,0.038706,0.000341,0.752312,0.001644,0.723194,0.001618,0.695202,0.001629,"0,1,2"
bridge2algebra2006,kqn,0.788877,,0.759873,,0.080814,,0.930556,,0.0,,0.930556,,10.104442,0.759873,,0.045723,,0.725129,,0.691974,,0.660335,,0
nips_task34,akt,0.80351,0.000258,0.715516,0.000412,0.097793,0.000579,0.984876,0.006887,0.364572,0.086257,0.620303,0.084612,11.795293,0.715516,0.000412,0.075918,0.000486,0.661195,0.00065,0.610999,0.000897,0.564613,0.001114,"0,1,2,3,4"
nips_task34,atkt,0.795994,0.001522,0.703746,0.00271,0.0782,0.001211,0.993502,0.002243,0.277978,0.0674,0.715524,0.068458,12.577257,0.703746,0.00271,0.059997,0.001328,0.661525,0.003063,0.621838,0.003522,0.584532,0.003995,"0,1,2,3,4"
nips_task34,atktfix,0.772817,0.000319,0.651217,0.001261,0.090958,0.000691,0.990186,0.001055,0.309201,0.051497,0.680985,0.051762,10.513478,0.651217,0.001261,0.076722,0.000609,0.601255,0.00146,0.555126,0.001658,0.512536,0.001834,"0,1,2,3,4"
nips_task34,bakt,0.804143,7e-05,0.717619,0.000526,0.094628,0.000807,0.985099,0.00218,0.368007,0.063427,0.617092,0.062324,12.289203,0.717619,0.000526,0.073451,0.000563,0.664909,0.000428,0.616071,0.000625,0.57082,0.000881,"0,1,2,3,4"
nips_task34,deep_irt,0.771747,0.000781,0.653719,0.000567,0.089394,0.001344,0.98411,0.005165,0.267857,0.031186,0.716252,0.032663,10.209796,0.653719,0.000567,0.07525,0.001137,0.604527,0.001064,0.559038,0.001626,0.516971,0.002122,"0,1,2,3,4"
nips_task34,dimkt,0.803093,0.000248,0.717699,0.001092,0.095154,0.000281,0.983534,0.003244,0.433026,0.008437,0.550508,0.010542,13.700994,0.717699,0.001092,0.073706,0.000186,0.6648,0.000972,0.6158,0.00088,0.570412,0.000813,"0,1,2,3,4"
nips_task34,dkt,0.774015,0.00017,0.657289,0.000949,0.090134,0.000917,0.987299,0.003514,0.21392,0.104732,0.773379,0.107815,9.429234,0.657289,0.000949,0.075246,0.000439,0.607831,0.000978,0.562094,0.001058,0.519799,0.001156,"0,1,2,3,4"
nips_task34,dkt+,0.774632,0.000239,0.658206,0.001406,0.090716,0.001536,0.988452,0.002192,0.207386,0.11998,0.781066,0.120325,9.289456,0.658206,0.001406,0.075496,0.00093,0.608514,0.001584,0.562575,0.001866,0.520104,0.002159,"0,1,2,3,4"
nips_task34,dkt_forget,0.777944,0.000351,0.66547,0.000691,0.090561,0.000384,0.989802,0.004092,0.23125,0.070226,0.758552,0.07119,9.687331,0.66547,0.000691,0.074486,0.000184,0.615903,0.00074,0.570027,0.000784,0.527568,0.00082,"0,1,2,3,4"
nips_task34,dkvmn,0.772022,0.000267,0.653789,0.001437,0.089312,0.001007,0.985666,0.001207,0.263435,0.079019,0.72223,0.080128,10.135623,0.653789,0.001437,0.075046,0.000839,0.604725,0.001723,0.559344,0.002021,0.517369,0.002291,"0,1,2,3,4"
nips_task34,gkt,0.773753,0.002463,0.65837,0.00344,0.092075,0.001574,0.985384,0.001431,0.190579,0.091262,0.794804,0.091596,8.996406,0.65837,0.00344,0.076936,0.000997,0.607718,0.003212,0.560962,0.003118,0.517805,0.003116,"0,1,2,3,4"
nips_task34,hawkes,0.776188,0.001018,0.697363,0.001094,0.090288,0.000612,0.96992,0.00365,0.368031,0.051931,0.601889,0.053675,12.832498,0.697363,0.001094,0.071488,0.000368,0.64751,0.000938,0.601221,0.000861,0.558241,0.00085,"0,1,2,3,4"
nips_task34,kqn,0.773385,0.000467,0.654934,0.001509,0.090114,0.001458,0.983623,0.004429,0.300739,0.038081,0.682885,0.042305,10.642875,0.654934,0.001509,0.075796,0.001064,0.605293,0.001702,0.559415,0.002028,0.517014,0.00237,"0,1,2,3,4"
nips_task34,saint,0.788682,0.001253,0.701129,0.001488,0.096024,0.000988,0.982531,0.001451,0.401613,0.015849,0.580918,0.016438,12.56914,0.701129,0.001488,0.07657,0.000672,0.647443,0.001025,0.597868,0.000748,0.552089,0.000717,"0,1,2,3,4"
nips_task34,sakt,0.759019,0.000522,0.61763,0.00164,0.087689,0.001211,0.988164,0.003348,0.28251,0.080297,0.705653,0.081064,9.981469,0.61763,0.00164,0.076889,0.000763,0.570141,0.001393,0.526303,0.001316,0.485836,0.001365,"0,1,2,3,4"
nips_task34,skvmn,0.745841,0.000162,0.614201,0.001601,0.080208,0.00094,0.981012,0.003172,0.291242,0.055571,0.68977,0.053868,11.101647,0.614201,0.001601,0.071166,0.000672,0.570491,0.001847,0.529892,0.002066,0.492183,0.002254,"0,1,2,3,4"
peiyou,akt,0.824817,0.001016,0.768576,0.00167,0.061704,0.000273,0.974767,0.004699,0.459475,0.024092,0.515292,0.025134,24.172358,0.768576,0.00167,0.044932,0.000275,0.734042,0.001795,0.701061,0.001908,0.669561,0.002008,"0,1,2,3,4"
peiyou,atktfix,0.782546,0.000304,0.70712,0.000702,0.064662,0.000195,0.970176,0.005365,0.351787,0.023466,0.618389,0.02576,17.683951,0.70712,0.000702,0.050798,0.000107,0.671199,0.000601,0.637104,0.000511,0.60474,0.000432,"0,1,2,3,4"
peiyou,bakt,0.821179,0.000632,0.766333,0.000704,0.061716,0.0005,0.980398,0.001117,0.488037,0.015556,0.492361,0.016363,25.219513,0.766333,0.000704,0.045082,0.000355,0.731785,0.000879,0.698795,0.001064,0.667292,0.001243,"0,1,2,3,4"
peiyou,deep_irt,0.780573,0.000745,0.709781,0.000881,0.063188,0.000305,0.965537,0.007621,0.388348,0.039412,0.577189,0.042829,19.461445,0.709781,0.000881,0.049523,0.000186,0.674631,0.000824,0.641221,0.00079,0.609466,0.000775,"0,1,2,3,4"
peiyou,dimkt,0.826277,0.000132,0.771058,0.000646,0.06097,0.000292,0.978603,0.004529,0.450144,0.008239,0.528458,0.009979,23.930885,0.771058,0.000646,0.044198,0.000242,0.73698,0.000722,0.704407,0.000818,0.673274,0.000919,"0,1,2,3,4"
peiyou,dkt,0.787378,0.000799,0.715128,0.000708,0.063704,0.000206,0.953922,0.004815,0.418556,0.041448,0.535367,0.039139,20.968305,0.715128,0.000708,0.049696,0.000194,0.679589,0.000751,0.645816,0.000803,0.613721,0.000858,"0,1,2,3,4"
peiyou,dkt+,0.788381,0.000356,0.716572,0.000602,0.063639,0.000158,0.96789,0.004498,0.442475,0.027394,0.525414,0.023531,21.430662,0.716572,0.000602,0.049523,0.00014,0.681085,0.000525,0.647355,0.000469,0.615296,0.000435,"0,1,2,3,4"
peiyou,dkt_forget,0.798024,0.000711,0.728482,0.000777,0.064918,0.000443,0.974839,0.006508,0.444254,0.023398,0.530586,0.027821,21.149508,0.728482,0.000777,0.049877,0.000407,0.692147,0.000982,0.657625,0.001187,0.624825,0.001378,"0,1,2,3,4"
peiyou,dkvmn,0.780951,0.000511,0.709996,0.00075,0.063515,0.000196,0.972914,0.006473,0.424303,0.014756,0.548611,0.010129,20.375815,0.709996,0.00075,0.049776,0.000213,0.674655,0.000764,0.641074,0.000798,0.609164,0.000843,"0,1,2,3,4"
peiyou,gkt,0.774294,0.000925,0.697616,0.001283,0.064955,0.000208,0.971099,0.005657,0.423097,0.016838,0.548002,0.016224,19.598576,0.697616,0.001283,0.051868,0.00018,0.661432,0.001233,0.627125,0.001196,0.594597,0.00117,"0,1,2,3,4"
peiyou,hawkes,0.797363,0.00053,0.755507,0.000259,0.063122,0.00031,0.982641,0.002451,0.457002,0.008253,0.525639,0.009511,22.770357,0.755507,0.000259,0.046745,0.000232,0.720191,0.000413,0.686526,0.000557,0.654435,0.000688,"0,1,2,3,4"
peiyou,kqn,0.781487,0.00076,0.706038,0.000427,0.064315,0.000275,0.958732,0.00264,0.424479,0.034202,0.534252,0.036386,20.548019,0.706038,0.000427,0.050699,0.000205,0.670242,0.000315,0.636262,0.000262,0.604004,0.000279,"0,1,2,3,4"
peiyou,saint,0.811072,0.000717,0.753623,0.000811,0.063,0.000307,0.975143,0.003978,0.495232,0.035854,0.479912,0.034742,24.926154,0.753623,0.000811,0.046817,0.000299,0.71834,0.000974,0.68471,0.001128,0.652654,0.00127,"0,1,2,3,4"
peiyou,sakt,0.771034,0.000555,0.693435,0.000609,0.064276,0.00041,0.978367,0.006856,0.352561,0.040035,0.625806,0.044798,17.239274,0.693435,0.000609,0.051444,0.000299,0.657762,0.000734,0.623924,0.000863,0.591827,0.000987,"0,1,2,3,4"
peiyou,skvmn,0.73921,0.000915,0.643521,0.001743,0.063446,0.000517,0.91396,0.018185,0.320532,0.045353,0.593428,0.050461,17.092022,0.643521,0.001743,0.054795,0.000477,0.60826,0.001934,0.574931,0.002105,0.543429,0.002254,"0,1,2,3,4"
